제품 광고용 3D 모델링 및 애니메이션,3D modeling and animation for product advertising,"실제 제품(예: 스마트폰, 자동차, 가전제품 등)의 3D 모델을 제작하고, 제품의 기능을 강조하는 짧은 광고 영상도 제작합니다. 제품이 회전하거나 분해되어 내부 구조를 보여주는 등 다양한 연출을 추가되어야 합니다","We create 3D models of real products (e.g. smartphones, cars, home appliances, etc.) and also create short advertising videos that highlight the features of the products. Various presentations should be added, such as rotating or disassembling the product to show the internal structure.","제품 모델링, 애니메이션, 카메라 작업, 렌더링","Product modeling, animation, camera work, rendering"
자연현상 CG 시뮬레이션,Natural phenomenon CG simulation,"폭풍우, 화산 폭발, 지진, 파도 등의 자연 현상을 CG로 시뮬레이션합니다. 자연스러운 물리적 움직임과 사실적인 텍스처를 강조하여 환경과 상호작용하는 자연현상을 표현합니다","Natural phenomena such as storms, volcanic eruptions, earthquakes, and waves are simulated using CG. Expresses natural phenomena interacting with the environment by emphasizing natural physical movement and realistic textures.","시뮬레이션, 물리기반 렌더링, 텍스쳐링","Simulation, physically-based rendering, texturing"
SF 로봇 디자인,science fiction robot design,"공상과학 소설에 나올 법한 복잡한 로봇을 디자인합니다. 로봇의 기계적 부분, 합금 텍스처, 내부 구조 등을 포함한 디테일을 강조하고, 움직일 수 있도록 리깅합니다","Design complex robots straight out of science fiction. Highlight details, including the robot's mechanical parts, alloy textures, and internal structures, and rig it for movement.","로봇디자인, 리깅, 텍스쳐링, 애니메이션","Robot design, rigging, texturing, animation"
AR 인터페이스 디자인,AR interface design,"AR 앱이나 게임을 위한 3D 인터페이스를 설계합니다. 사용자가 실제 환경에서 상호작용할 수 있는 UI 요소와 물체를 포함하여, AR 기술과의 상호작용이 원활하도록 디자인 되어야 합니다","Design 3D interfaces for AR apps or games. Interaction with AR technology should be designed to be seamless, including UI elements and objects that users can interact with in the real environment.","AR 개발, 3D UI/UX, 인터랙션 디자인","AR development, 3D UI/UX, interaction design"
생명체 털 및 머리카락 시뮬레이션,Creature fur and hair simulation,"동물의 털이나 인간의 머리카락을 사실적으로 시뮬레이션합니다. 털의 움직임과 빛 반사, 자연스러운 물리적 특성 등을 살려 캐릭터 또는 동물 모델에 통합합니다","Realistic simulation of animal fur or human hair. Integrate fur movement, light reflection, and natural physical characteristics into character or animal models.","헤어 시뮬레이션, 물리 엔진, 텍스쳐링","Hair simulation, physics engine, texturing"
미래 도시 공공 시설 시각화,Visualization of future city public facilities,"미래의 공공시설(예: 공항, 기차역, 병원 등)을 주제로 3D 환경을 디자인합니다. 첨단 기술과 혁신적인 디자인 요소를 반영하여 미래적인 건축물을 설계하고, 사람들이 이용하는 장면을 애니메이션으로 표현합니다","Design 3D environments for future public facilities (e.g. airports, train stations, hospitals, etc.). We design futuristic buildings by reflecting cutting-edge technology and innovative design elements, and express people's use scenes through animation.","건축시각화, 애니메이션, 환경 디자인","Architectural visualization, animation, environmental design"
타이포그래피 애니메이션,typography animation,"독창적인 타이포그래피 애니메이션을 제작합니다. 텍스트가 움직이거나 변형되는 방식으로 메시지를 전달하는 창의적인 시퀀스를 설계하고, 색상과 타이밍을 적절하게 조정하여 시각적 효과를 극대화합니다","We create original typography animations. Design creative sequences that convey your message by moving or transforming text, and adjust color and timing to maximize visual impact.","타이포그래피 디자인, 모션그래픽, 타이밍 조정","Typography design, motion graphics, timing coordination"
디지털 패션 디자인,digital fashion design,의류 또는 액세서리 컬렉션을 3D로 모델링하고 애니메이션으로 표현하세요. 소재의 질감과 움직임을 자연스럽게 시뮬레이션하여 패션 제품을 가상 런웨이에서 선보이는 시퀀스를 제작하세요,Model and animate your clothing or accessory collection in 3D. Create sequences that showcase fashion products on a virtual runway by naturally simulating the texture and movement of materials.,"3D 패션 디자인, 텍스처링, 애니메이션","3D fashion design, texturing, animation"
캐릭터 얼굴 표정 애니메이션,Character facial expression animation,"다양한 감정을 표현하는 캐릭터 얼굴 표정 애니메이션을 제작하세요. 기쁨, 슬픔, 분노 등 여러 감정을 미세하게 조정된 표정으로 나타내며, 캐릭터의 눈, 입, 얼굴 근육이 자연스럽게 움직이도록 설정하세요","Create character facial expression animations that express various emotions. Express various emotions such as joy, sadness, anger, and more with finely tuned facial expressions, and set your character's eyes, mouth, and facial muscles to move naturally.","얼굴 리깅, 애니메이션, 감정 표현","Facial Rigging, Animation, Emotes"
추상 미술 애니메이션,abstract art animation,"색상과 형태를 기반으로 한 추상적인 3D 애니메이션을 제작하세요. 추상적인 패턴, 입자 효과, 형상의 변형 등을 사용하여 예술적이고 감각적인 시퀀스를 만드세요. 이 프로젝트는 주로 예술적 감각과 창의성을 요구합니다","Create abstract 3D animations based on color and shape. Create artistic and sensational sequences using abstract patterns, particle effects, shape transformations, and more. This project mainly requires artistic flair and creativity.","애니메이션, 추상 미술, 색상 및 조형 디자인","Animation, abstract art, color and sculptural design"
